 Subject: Death and Life Expectancy 
 Topic : Death and Life Expectancy 
" Title  : M810141 - Age-specific Death Rates, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Per Thousand Residents
 Variables , 1960 , 1961 , 1962 , 1963 , 1964 , 1965 , 1966 , 1967 , 1968 , 1969 , 1970 , 1971 , 1972 , 1973 , 1974 , 1975 , 1976 , 1977 , 1978 , 1979 , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Male Age Specific Death Rate , 7 , 6.7 , 6.6 , 6.6 , 6.6 , 6.3 , 6.2 , 6.2 , 6.4 , 5.8 , 6 , 6.3 , 6.2 , 6.4 , 6 , 5.9 , 5.9 , 5.9 , 5.8 , 5.9 , 5.5 , 5.5 , 5.6 , 5.6 , 5.5 , 5.5 , 5.1 , 5.2 , 5.3 , 5.4 , 5.1 , 5.1 , 5.2 , 5 , 5.2 , 5.4 , 5.2 , 4.9 , 5 , 4.9 , 4.9 , 4.8 , 4.8 , 5 , 4.9 , 4.9 , 4.8 , 5 , 4.9 , 4.7 , 4.8 , 4.9 , 5 , 5.1 , 5.2 , 5.2 , 5.3 , 5.5 , 5.6 ,
     Under 1 Year , 37.9 , 35.7 , 36.3 , 32.5 , 33.6 , 30.5 , 28.3 , 27.2 , 25.5 , 23.3 , 22.2 , 22.5 , 22.6 , 23.7 , 19.7 , 15.9 , 13.7 , 14.6 , 14.9 , 14.3 , 8.3 , 9 , 11.6 , 9.7 , 7.5 , 8.3 , 6.1 , 6 , 5.6 , 6.5 , 7.1 , 5.8 , 5.2 , 5 , 4.3 , 4.3 , 3.5 , 4 , 4.1 , 3.2 , 2.8 , 2.4 , 3.4 , 2.8 , 2.2 , 2.4 , 2.8 , 2.6 , 2.6 , 2.6 , 1.9 , 2.3 , 2 , 1.8 , 1.9 , 2.2 , 2.3 , 2 , 2.3 ,
     1 - 4 Years , 3.5 , 2.9 , 2.5 , 2.2 , 2.1 , 2 , 2 , 1.6 , 1.8 , 1.3 , 1.5 , 1.1 , 1 , 1.3 , 1 , 0.8 , 0.8 , 0.7 , 0.8 , 0.6 , 0.7 , 0.5 , 0.6 , 0.6 , 0.7 , 0.3 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.3 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.2 , 0.2 , 0.1 , 0.1 ,
     5 - 9 Years , 1 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.6 , 0.6 , 0.4 , 0.5 , 0.4 , 0.5 , 0.7 , 0.5 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.3 , 0.2 , 0.2 , 0.3 , 0.2 , 0.3 , 0.2 , 0.2 , 0.3 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , - , 0.1 , 0.1 , 0.1 , - ,
     10 - 14 Years , 0.8 , 0.8 , 0.6 , 0.7 , 0.7 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.6 , 0.7 , 0.5 , 0.5 , 0.5 , 0.4 , 0.3 , 0.4 , 0.3 , 0.3 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.2 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.3 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.2 , 0.1 , - , 0.1 , 0.2 , 0.1 , 0.1 ,
     15 - 19 Years , 1.1 , 1.5 , 1 , 1 , 0.9 , 0.9 , 0.9 , 0.7 , 0.8 , 1 , 1.2 , 1.1 , 1.2 , 1 , 0.7 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.9 , 0.9 , 0.8 , 0.7 , 0.9 , 0.7 , 0.5 , 0.5 , 0.6 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.3 , 0.5 , 0.3 , 0.3 , 0.2 , 0.2 , 0.3 , 0.3 , 0.2 , 0.2 , 0.2 , 0.3 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 ,
     20 - 24 Years , 1.1 , 1.5 , 1.3 , 1.4 , 1.5 , 1.6 , 1.8 , 1.1 , 1.5 , 1.4 , 1.3 , 1.5 , 1.5 , 1.5 , 1.4 , 1.4 , 1.2 , 1 , 1.4 , 1.2 , 1.2 , 0.9 , 1.1 , 1 , 1 , 0.8 , 0.9 , 0.8 , 0.9 , 0.7 , 0.8 , 0.7 , 0.8 , 0.8 , 0.7 , 0.7 , 0.7 , 0.8 , 0.6 , 0.7 , 0.7 , 0.7 , 0.6 , 0.8 , 0.7 , 0.6 , 0.5 , 0.6 , 0.4 , 0.5 , 0.4 , 0.5 , 0.5 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.4 ,
     25 - 29 Years , 1.4 , 1.5 , 1.5 , 1.4 , 1.5 , 1.5 , 1.3 , 1.3 , 1.6 , 1.7 , 1.3 , 1.6 , 1.5 , 1.5 , 1.3 , 1.4 , 1.2 , 1.4 , 1.5 , 1.2 , 1.2 , 1.2 , 1 , 0.9 , 1 , 1 , 0.9 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.6 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 0.6 , 0.6 , 0.7 , 0.6 , 0.6 , 0.4 , 0.5 , 0.5 , 0.7 , 0.5 , 0.5 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.4 , 0.4 , 0.3 , 0.3 ,
     30 - 34 Years , 2 , 1.7 , 1.8 , 2.2 , 1.8 , 1.9 , 1.9 , 1.8 , 1.6 , 1.2 , 1.4 , 1.5 , 1.4 , 1.5 , 1.8 , 1.8 , 1.5 , 1.2 , 1.8 , 1.2 , 1.3 , 1.1 , 1.2 , 1.1 , 1 , 1.2 , 1 , 1 , 0.9 , 1 , 0.9 , 0.9 , 0.9 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.8 , 0.7 , 0.6 , 0.8 , 0.7 , 0.6 , 0.6 , 0.5 , 0.5 , 0.6 , 0.4 , 0.5 , 0.4 , 0.6 , 0.5 , 0.5 , 0.4 , 0.5 , 0.5 ,
     35 - 39 Years , 3.4 , 3.1 , 3.1 , 2.8 , 2.6 , 3 , 2.9 , 2.8 , 2.7 , 2.7 , 2.7 , 2.7 , 2.3 , 2.3 , 2.4 , 2.3 , 2.4 , 2.3 , 2.1 , 1.8 , 1.6 , 1.6 , 1.6 , 1.4 , 1.7 , 1.6 , 1.4 , 1.5 , 1.6 , 1.3 , 1.4 , 1.2 , 1.2 , 1 , 1.3 , 1.3 , 1.2 , 1 , 1.1 , 1 , 1.3 , 1 , 1.1 , 0.9 , 0.9 , 1 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.7 , 0.6 , 0.6 , 0.7 , 0.7 , 0.6 , 0.7 , 0.6 ,
     40 - 44 Years , 5.4 , 5.1 , 4.9 , 4.7 , 5.3 , 4.4 , 3.4 , 4.7 , 4.6 , 4.4 , 4.1 , 4.5 , 4 , 4.4 , 3.8 , 4.1 , 3.9 , 3.6 , 3.4 , 3.6 , 2.9 , 2.6 , 2.7 , 2.7 , 2.6 , 2.3 , 2.4 , 2.2 , 2.4 , 2.3 , 2.1 , 1.9 , 2.1 , 2 , 2 , 1.8 , 2 , 1.9 , 1.7 , 1.7 , 1.8 , 1.6 , 1.6 , 1.6 , 1.6 , 1.5 , 1.6 , 1.5 , 1.4 , 1.2 , 1.3 , 1 , 1.2 , 1.2 , 1.3 , 1.1 , 1.1 , 1.1 , 0.9 ,
     45 - 49 Years , 8.4 , 8.2 , 8.4 , 7.5 , 7.8 , 7.3 , 7.5 , 7.1 , 7.4 , 6.7 , 7.2 , 7.4 , 7.3 , 7 , 6.6 , 7.4 , 6.6 , 6.5 , 6.3 , 5.8 , 5.9 , 5.5 , 5.2 , 4.7 , 5.3 , 4.7 , 4 , 4 , 3.7 , 3.6 , 4 , 3.4 , 3.7 , 3.4 , 3.2 , 3.6 , 3.1 , 2.6 , 2.8 , 2.5 , 2.7 , 2.5 , 2.7 , 2.7 , 2.4 , 2.4 , 2.3 , 2.3 , 2.4 , 2 , 2.2 , 2.2 , 1.9 , 2 , 1.7 , 1.9 , 1.7 , 1.7 , 1.8 ,
     50 - 54 Years , 15.6 , 15.3 , 14.6 , 14.3 , 14.9 , 12.1 , 12.7 , 12.4 , 12.8 , 12 , 12.4 , 13.2 , 12.3 , 12.3 , 12.3 , 11.6 , 11 , 11.6 , 10.4 , 11.3 , 9.7 , 10 , 9.2 , 9.7 , 9.2 , 8.3 , 8.4 , 8.1 , 7.9 , 7.8 , 6.8 , 6.7 , 6.1 , 6.1 , 6 , 5.8 , 5.9 , 5.3 , 4.9 , 4.7 , 4.2 , 4.7 , 4.3 , 4.2 , 4.2 , 4.4 , 4 , 4.1 , 4 , 3.9 , 3.9 , 3.6 , 3.1 , 3.4 , 3 , 3.1 , 3.1 , 3.1 , 2.8 ,
     55 - 59 Years , 24.1 , 21.9 , 22.6 , 24.9 , 22.6 , 22.9 , 22.8 , 21 , 22.6 , 19 , 20.3 , 19.6 , 19.5 , 19.9 , 18.7 , 19.3 , 19.4 , 18.8 , 17.5 , 19 , 15.3 , 16.3 , 16 , 15.2 , 15.9 , 15.9 , 14.2 , 14 , 13.6 , 14 , 12 , 12.5 , 10.9 , 10.5 , 10.5 , 10.7 , 9.7 , 9.2 , 9.1 , 8.3 , 7.9 , 8.2 , 8.4 , 7.6 , 7.2 , 7.5 , 6.6 , 6.5 , 6.6 , 6 , 5.7 , 5.9 , 5.8 , 5.7 , 5.8 , 5.4 , 5.3 , 4.8 , 5 ,
