Ethnicity,Gender,Variables,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
All,Both,0 - 4 Years,224049,235519,245751,248771,247022,248089,245148,243259,240072,232614,225705,222991,217798,209903,204819,199529,194479,193626,193889,197788,194432,188249,186673,183295,181369,183575,187160,187653,185528
All,Both,5 - 9 Years,205628,205807,204724,210359,223824,230583,242270,253311,257440,256149,256574,254077,253192,247044,240517,237237,235204,229541,223622,221435,215675,208119,206324,205704,205790,204452,201509,200575,199066
All,Both,10 - 14 Years,198476,201155,202170,206698,207032,209583,209322,208388,214443,228191,235352,246972,257692,259124,257283,258553,256482,255292,253796,248628,244302,240536,233320,226244,220796,214388,207495,206253,206530
All,Both,15 - 19 Years,223305,218157,213331,204085,200002,199898,202379,203429,208282,208600,211286,210903,209687,214074,227417,234921,246547,257298,262856,262775,263750,260738,258861,255066,247337,242902,239771,232973,226520
All,Both,20 - 24 Years,238987,234658,234805,237867,239253,237425,231764,226764,217260,213031,212236,214636,216313,215412,215217,218951,219631,218485,225385,241753,247190,255069,264506,266889,263918,264127,260854,259072,255516
All,Both,25 - 29 Years,290940,289839,286490,281789,273264,267010,263481,264769,268517,270217,267161,262754,262720,250878,246713,247799,251659,254523,263114,274308,272639,262606,254582,255615,265659,271030,279988,290198,291631
All,Both,30 - 34 Years,298323,304022,306029,307731,309334,308824,309094,306773,304104,296867,290290,286690,289184,287304,290489,293414,293251,294453,289817,297240,298687,297555,295396,296870,292287,290619,285544,279340,281397
All,Both,35 - 39 Years,255993,269191,281688,291778,300133,307434,313266,315944,319208,322289,322621,322878,320753,310643,302908,299153,298203,301973,307243,317311,320024,316161,313970,305503,302029,301067,301998,300956,303720
All,Both,40 - 44 Years,206063,224210,231002,240317,250783,260994,273686,286259,296755,305241,312420,317996,320863,318282,321057,321472,323017,321049,317363,312983,309441,306614,308823,312581,316023,316755,313445,311484,303640
All,Both,45 - 49 Years,128439,129004,147384,166332,183764,208085,225769,232426,241863,252282,262201,274569,286738,292791,300671,307546,312858,315552,318078,322497,323459,323991,320925,316336,308533,303413,301183,303457,307838
All,Both,50 - 54 Years,118092,126490,131902,133399,133810,128066,128497,146576,165341,182738,206657,223842,230367,233180,244110,254168,266994,279220,289189,297383,303044,308130,310376,312988,315503,315091,315598,312814,308965
All,Both,55 - 59 Years,100102,101397,101228,103679,110127,115530,123752,129003,130334,130631,125061,125449,143175,157894,174788,197803,214601,220983,229356,239947,248696,260678,271817,281069,288392,295063,299591,301678,304390
All,Both,60 - 64 Years,83021,85729,87393,89063,91308,95326,96790,96766,99178,105370,110503,118506,123438,121724,122736,117575,118242,135501,153161,169696,191995,208160,213996,222154,231502,240493,251853,262651,271688
All,Both,65 - 69 Years,59896,61988,65005,68521,72439,76091,78589,80324,82118,84391,88305,89676,89587,89883,96007,101088,108837,113757,115185,116258,111511,112396,128879,145817,161198,182425,198020,203969,212101
All,Both,70 - 74 Years,45047,45868,46787,47987,49283,50597,52958,56176,59856,63592,66948,69048,70642,70002,72485,76545,78317,78631,81307,87428,92618,100073,104414,105746,106815,102631,103796,119494,135546
All,Both,75 - 79 Years,32336,32475,32802,32968,33406,34178,34657,35441,36422,37951,39644,42501,45830,42863,47875,51601,54413,56732,59001,61490,65178,66909,67675,70619,76294,81211,87955,91953,93327
All,Both,80 - 84 Years,17526,18856,20031,20950,21460,21689,21751,21859,22095,22345,22876,23897,25213,25783,26864,27879,29443,31519,33882,37143,39839,42145,44115,46199,48418,51785,53556,54341,57103
All,Both,85 Years & Over,9645,10339,11231,12252,13107,14116,14957,15936,16731,17182,17523,18517,19752,20107,21310,22580,23716,24947,26415,27813,29241,31122,33553,36056,38876,41663,44243,46935,49777
All,Male,0 - 4 Years,116014,121913,126806,128483,127478,128032,126375,125835,123898,120308,116756,115533,112705,108553,105608,102678,99730,99091,99147,100699,98890,95885,94924,93520,92528,93852,95678,96041,94916
All,Male,5 - 9 Years,106723,107046,106294,108966,115808,119331,125239,130512,132788,132013,132200,130786,130717,127297,124236,122334,121432,118360,115186,113683,110215,106047,105033,104586,104588,103861,102426,102010,101636
All,Male,10 - 14 Years,102654,104034,104741,107299,107508,108670,108755,108056,110977,117936,121639,127455,132502,133412,132324,132959,131748,131405,130128,127531,125271,123438,119697,116000,112959,109401,105589,104885,105026
All,Male,15 - 19 Years,115214,112489,109940,105176,103187,103121,104381,105003,107626,107777,109002,108928,108100,110336,117071,120893,126649,131582,134000,133454,134003,132579,132106,129989,126514,124287,122911,119500,116102
All,Male,20 - 24 Years,121601,118824,118217,119113,119711,118792,116130,113576,108535,106432,106249,107436,108264,107408,108156,110609,111267,110602,113468,120949,123942,128245,132675,134034,132902,133493,132046,131825,129956
All,Male,25 - 29 Years,147751,146404,143986,140995,135450,131308,128973,129020,130263,130968,129285,126761,126255,119975,117737,118231,119976,121991,126755,132022,131299,127132,123056,124013,129304,132504,137243,142427,143758
All,Male,30 - 34 Years,152133,154828,155296,155608,155684,154906,154607,152953,151047,146312,141827,138964,139579,138293,139648,141464,141031,141491,139144,142676,143048,141947,140686,141262,138954,137847,135596,132378,133775
All,Male,35 - 39 Years,130423,137016,143278,147994,151809,155495,158467,159515,161001,162187,162037,161663,160129,154963,149879,147117,145884,147400,149911,155109,156318,154097,152252,147408,144959,143795,143553,142776,143661
All,Male,40 - 44 Years,104452,113672,117088,121914,127357,132331,138535,144845,149792,153861,157640,160573,161909,160889,161981,161997,162499,161229,158996,155764,152995,150678,151213,152691,154320,154460,152466,150641,145974
All,Male,45 - 49 Years,64792,65353,74612,84040,92899,105077,113906,117197,122140,127638,132445,138536,144727,147831,151609,155343,158246,159593,160849,162905,163237,163002,161122,158312,153194,149607,147517,148095,149811
All,Male,50 - 54 Years,59522,63409,65828,66585,66989,64130,64546,73673,82934,91772,103766,112423,115719,117357,123183,128179,134543,140806,145713,149604,152721,155424,156561,157789,158734,158465,158202,156386,153908
All,Male,55 - 59 Years,49910,50531,50580,51736,54818,57559,61248,63558,64250,64589,61934,62358,71321,78448,87099,98576,107015,110336,114878,120448,124822,130717,136379,140813,144316,147860,150315,151320,152528
All,Male,60 - 64 Years,41095,42376,43111,44040,45026,46606,47365,47409,48562,51499,54023,57690,59769,58848,59623,57287,57981,66682,75256,83709,94796,102799,105781,110241,115217,119660,125130,130589,134928
