Brides,Grooms,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Under 20 Years,Under 20 Years,56,68,68,57,55,45,50,41,50,60,67,71,49,40,29,37,34,43,37,39,50,41,35,38,19,12,16,18
Under 20 Years,20-24 Years,364,321,341,276,227,221,231,222,237,214,205,180,155,136,144,133,119,128,116,102,107,99,80,77,64,51,44,39
Under 20 Years,25-29 Years,274,246,234,187,154,143,127,103,152,148,136,120,94,66,64,64,66,74,62,60,56,36,38,44,24,24,20,17
Under 20 Years,30-34 Years,63,66,76,74,66,66,45,43,49,52,28,31,32,22,38,49,40,32,36,43,26,32,27,15,17,17,16,10
Under 20 Years,35-39 Years,4,7,22,15,14,14,18,13,17,16,9,18,16,11,19,36,41,32,36,40,22,21,18,13,15,15,12,4
Under 20 Years,40-44 Years,3,6,6,3,3,3,3,3,8,4,5,6,7,6,14,43,28,30,27,19,15,7,9,11,3,9,7,2
Under 20 Years,45-49 Years,1,1,1,0,0,1,1,0,1,2,1,2,2,4,6,29,18,20,11,19,8,14,7,2,3,3,2,1
Under 20 Years,50-54 Years,0,1,1,0,0,0,0,0,0,0,1,0,1,6,5,6,4,12,8,8,5,6,3,4,4,1,2,1
Under 20 Years,55-59 Years,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,5,4,6,4,5,2,3,0,1,3,1,0,1
Under 20 Years,60 Years & Over,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,5,1,0,0,0,0
20-24 Years,Under 20 Years,12,18,16,27,21,15,21,14,14,24,17,24,12,10,11,10,18,9,18,15,10,13,10,13,16,11,7,5
20-24 Years,20-24 Years,2159,2234,2028,1912,1970,1962,1738,2132,1535,1749,1311,1195,1227,981,958,892,889,804,768,794,682,760,820,681,626,545,462,459
20-24 Years,25-29 Years,3762,3873,4066,3838,3619,3586,3202,3553,2986,3331,2586,2539,2516,2104,1872,1724,1690,1568,1448,1603,1273,1315,1388,1107,1159,1095,1042,946
20-24 Years,30-34 Years,978,1107,1182,1269,1232,1276,1190,1066,902,843,780,789,817,712,727,707,726,577,651,596,532,598,605,569,466,414,379,290
20-24 Years,35-39 Years,201,163,229,233,309,296,313,306,280,295,285,301,281,245,279,305,293,298,277,315,272,280,248,235,197,194,141,133
20-24 Years,40-44 Years,40,32,40,66,72,81,81,75,92,108,127,118,123,134,145,200,142,166,141,148,136,149,126,85,103,93,66,53
20-24 Years,45-49 Years,6,8,17,10,19,27,16,24,26,29,41,45,41,49,65,91,61,80,90,92,101,90,78,46,44,47,28,26
20-24 Years,50-54 Years,2,5,3,6,6,7,3,2,6,5,8,10,15,18,18,30,29,21,27,39,45,40,40,28,37,15,17,15
20-24 Years,55-59 Years,0,0,1,1,5,3,0,2,5,3,4,7,4,5,10,17,15,19,7,11,23,14,22,16,6,7,7,6
20-24 Years,60 Years & Over,0,0,1,1,4,1,0,0,1,0,0,6,1,2,3,5,6,7,5,4,13,9,6,5,4,6,6,4
25-29 Years,Under 20 Years,0,3,5,5,3,1,0,0,0,0,1,1,1,1,1,1,0,3,1,0,1,3,0,2,1,1,2,2
25-29 Years,20-24 Years,409,454,437,403,401,393,431,472,424,418,340,363,294,290,286,306,289,263,313,306,288,251,308,271,277,274,257,221
25-29 Years,25-29 Years,4171,4417,4508,4512,4284,4556,4552,5141,4609,5575,4775,4562,5137,4834,4329,4187,4647,4609,4957,5256,4549,5161,4996,4574,5312,5232,5259,5808
25-29 Years,30-34 Years,2447,2485,2729,2623,2580,2500,2501,2480,2257,2612,2321,2269,2568,2561,2551,2631,2780,2867,2857,3081,2819,3298,3349,3048,3446,3494,3378,3380
25-29 Years,35-39 Years,500,530,629,633,690,706,620,716,703,771,722,687,716,665,694,705,784,814,801,894,856,889,921,796,808,764,800,747
25-29 Years,40-44 Years,106,110,130,130,184,186,178,206,237,239,251,269,244,238,258,349,343,332,325,355,324,358,343,337,345,285,293,274
25-29 Years,45-49 Years,25,25,24,43,50,60,57,57,66,96,67,90,108,84,115,174,132,158,143,182,183,188,183,141,129,108,133,107
25-29 Years,50-54 Years,11,11,7,10,14,20,18,17,25,23,24,37,28,34,54,73,77,56,62,88,70,103,91,78,44,67,46,38
25-29 Years,55-59 Years,6,6,8,2,8,2,6,2,9,10,5,14,11,12,13,18,22,29,26,31,36,39,38,31,26,29,30,19
25-29 Years,60 Years & Over,3,5,1,4,4,3,4,2,5,4,3,5,4,4,6,10,8,7,7,16,11,21,15,18,15,15,15,8
30-34 Years,Under 20 Years,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0
30-34 Years,20-24 Years,47,35,40,38,36,44,34,37,33,34,27,25,22,32,31,42,45,45,34,52,39,57,68,41,45,32,44,39
30-34 Years,25-29 Years,390,421,435,443,417,483,453,492,461,465,443,467,504,460,536,470,578,581,582,634,626,725,749,693,761,701,670,790
30-34 Years,30-34 Years,1160,1222,1290,1292,1203,1253,1191,1211,1015,1242,1083,1124,1239,1343,1456,1585,1711,1831,1883,2124,2125,2538,2620,2613,2792,2854,2845,2757
30-34 Years,35-39 Years,628,652,767,765,732,696,816,749,688,773,668,711,814,706,775,859,906,965,1049,1125,1045,1262,1319,1218,1359,1350,1316,1257
30-34 Years,40-44 Years,160,170,195,200,227,238,258,256,255,291,276,295,283,304,352,425,350,394,423,422,404,440,500,439,509,544,478,439
30-34 Years,45-49 Years,49,37,61,54,63,74,89,77,103,104,116,117,126,145,151,229,237,229,180,209,196,214,221,226,215,196,200,166
30-34 Years,50-54 Years,19,18,20,25,24,6,21,19,36,42,28,43,42,53,67,106,86,91,105,109,113,107,109,120,129,86,104,93
