
Per Cent
Variables,1980,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20-24 Years,83.7,86.1,86.5,87.7,87.9,88.7,89.6,89.4,86.8,89.4,90,91.4,91,91.9,91.3,91.6,93,93,91.1,93,94.6,94.2,94.4,92.9,94.9,94.4,95.3,96,95.8,96.8,96.9,97.2,97.8,97.4,97.1,96.9,97.4
        Males,92.2,93.6,93.4,94.4,94.3,95.1,95.3,95.4,94.1,95.7,95.5,96,96.2,96.3,96.1,96.1,96.7,97.3,95.4,96.8,97.8,97.5,97.9,96.2,97.4,97.6,97.6,97.9,97.8,98.7,98.3,98.5,98.9,98.7,98.4,98.6,98.6
        Females,74.7,78.2,79,80.5,81.2,81.8,83.7,83.2,79,82.8,84,86.3,85.5,86.9,86.2,86.6,89,88.3,86.6,88.7,91.1,90.6,90.4,89.3,92,91,92.8,93.7,93.6,94.7,95.3,95.7,96.7,96,95.7,95.1,96
25-29 Years,45.2,51.2,51.6,53,54.5,53.1,54.8,57.3,52.1,55.2,55.8,57.7,56.2,56.8,55.7,58.1,60.3,58.7,56.1,58.3,62.7,62,65.4,63.6,68.5,69.5,69.6,72.3,70.5,73.9,76.9,77.1,79.4,76.1,74.9,74.7,75.2
        Males,55.1,61.8,62.5,63.6,65.7,65.4,66.5,68.5,64,67.6,67.8,69.6,68.3,68.6,67.6,69.7,72.1,70,66.4,68.7,72.3,72.4,75.4,72.9,77.2,77.5,78,80.5,78.5,80.3,84.4,83.9,84.8,82.6,80.6,80.7,80.6
        Females,34.7,40.2,40.6,42.2,42.7,40.8,42.4,45.4,39.6,42.4,43.7,44.9,43.4,44.3,44.1,46.3,48.3,47.5,45.5,47.7,52.9,51.2,54.9,53.5,59.6,60.9,60.9,63.3,62,66.7,68.5,69.8,73.3,69,68.8,68.1,69.4
30-34 Years,19.3,22.1,22.7,24.7,25.1,25.4,26.2,26.6,27.5,27.8,29.1,29.4,27.5,28.2,27.3,27.2,27.4,27.3,27.6,28,30.2,31.1,31.9,31.8,34,34.8,35.3,36.3,36.9,38.4,39.5,39.4,38.8,37.5,36.3,36.7,38.1
        Males,21.4,25,25.7,29.4,30,30.9,31.9,33.2,33.9,33.8,35.8,37,34.1,35.3,32.5,33.6,33.1,33.4,33.3,33.6,37.5,36.9,37.5,37.4,40.2,40.8,40.8,42.9,43.1,45.3,45.9,44.9,44.8,43.4,41.3,40.5,43.6
        Females,17.1,19.1,19.7,20,20.1,19.8,20.6,19.8,20.9,21.7,22.3,22,21.1,21.3,22.5,21,22.1,21.2,21.9,22.6,23.3,25.5,26.2,26.3,27.9,28.9,29.9,29.7,30.6,31.4,33.2,33.5,32.7,31.4,31.3,32.8,32.3
