Brides,Grooms,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total ,Caucasian,249,235,295,270,294,308,354,323,408,451,455,390,436,353,425,513,544,583,550,691,732,828,812,912,899,1019,886,897
Chinese,Caucasian,167,143,194,176,193,182,221,205,248,280,278,236,254,229,264,337,356,348,310,393,442,461,466,508,494,539,512,519
Indian,Caucasian,31,24,39,36,37,34,32,38,40,54,47,36,44,33,37,37,35,48,40,38,31,54,32,48,55,70,43,49
Eurasian,Caucasian,13,13,12,9,7,16,11,10,13,19,9,4,13,7,9,20,15,17,17,34,19,23,31,29,34,31,23,27
Malay,Caucasian,13,11,12,14,23,14,13,14,19,22,26,28,37,21,16,21,20,21,19,18,27,24,24,27,32,27,25,22
Other,Caucasian,25,44,38,35,34,62,77,56,88,76,95,86,88,63,99,98,118,149,164,208,213,266,259,300,284,352,283,280
Total ,Chinese,429,405,452,541,628,631,592,573,765,831,855,1036,1012,792,803,1171,1242,1413,1555,2012,1993,2131,2214,1958,2020,2132,2090,2038
Indian,Chinese,44,30,28,37,40,38,43,44,35,45,31,37,39,40,26,21,25,32,36,29,30,33,23,32,33,29,41,39
Eurasian,Chinese,50,41,27,31,39,36,34,18,24,31,22,25,23,25,25,27,32,27,31,26,37,28,24,36,30,44,31,39
Caucasian,Chinese,14,19,17,18,18,18,21,24,20,20,18,13,19,22,20,15,25,17,21,29,31,34,35,27,37,52,43,51
Malay,Chinese,22,31,24,31,44,58,64,73,105,145,159,210,242,173,165,148,122,110,72,55,53,46,51,32,37,48,28,37
Other,Chinese,299,284,356,424,487,481,430,414,581,590,625,751,689,532,567,960,1038,1227,1395,1873,1842,1990,2081,1831,1883,1959,1947,1872
Total ,Eurasian,66,83,84,72,89,108,95,100,88,76,80,68,74,81,67,85,89,87,89,88,78,101,108,103,112,111,109,104
Chinese,Eurasian,52,61,57,54,71,75,62,70,54,63,50,47,53,64,47,53,58,51,64,52,46,63,61,63,67,68,79,71
Indian,Eurasian,5,13,11,7,6,10,11,9,13,4,8,3,3,5,6,6,4,6,5,10,8,4,4,6,5,6,7,5
Caucasian,Eurasian,3,2,0,1,1,2,1,2,4,2,3,1,2,0,4,1,0,4,2,5,4,4,3,7,7,14,5,4
Malay,Eurasian,2,3,5,3,2,6,8,8,7,0,5,8,2,6,2,5,5,7,1,0,1,6,7,5,4,4,2,1
Other,Eurasian,4,4,11,7,9,15,13,11,10,7,14,9,14,6,8,20,22,19,17,21,19,24,33,22,29,19,16,23
Total ,Indian,186,165,182,172,198,197,233,233,244,243,214,233,254,184,205,245,255,277,289,320,369,437,516,460,446,417,448,442
Chinese,Indian,124,98,131,104,109,142,152,145,151,157,122,141,144,108,112,127,130,133,127,139,140,138,197,164,202,162,212,198
Eurasian,Indian,22,10,7,14,18,12,15,12,17,8,19,9,6,5,10,9,6,11,4,1,8,9,10,14,13,12,10,14
Caucasian,Indian,8,10,9,6,7,6,7,8,11,12,11,16,18,8,10,11,13,13,18,10,12,26,37,34,30,37,29,43
Malay,Indian,11,14,9,8,15,12,13,21,21,23,20,21,18,16,27,26,20,15,15,18,31,71,88,33,21,23,20,14
Other,Indian,21,33,26,40,49,25,46,47,44,43,42,46,68,47,46,72,86,105,125,152,178,193,184,215,180,183,177,173
Total ,Malay,15,21,12,19,28,35,23,32,24,19,26,34,34,26,34,55,52,65,50,48,64,119,156,79,56,70,69,77
Chinese,Malay,10,17,6,12,17,24,17,26,18,15,18,22,21,18,23,33,30,32,21,26,20,26,29,28,24,41,33,49
Indian,Malay,0,0,3,0,2,6,3,3,2,3,2,2,2,2,1,3,2,1,2,1,4,9,19,5,2,3,4,5
Eurasian,Malay,1,2,1,2,4,0,0,2,2,1,1,0,0,1,1,5,1,0,1,0,4,6,1,2,3,0,1,1
Caucasian,Malay,0,0,1,2,2,5,1,0,0,0,2,2,2,1,2,2,3,5,4,0,4,2,5,2,2,5,6,7
Other,Malay,4,2,1,3,3,0,2,1,2,0,3,8,9,4,7,12,16,27,22,21,32,76,102,42,25,21,25,15
Total ,Other,101,92,98,124,137,112,111,133,122,158,131,197,169,185,189,236,263,292,277,315,314,351,377,353,358,393,405,367
Chinese,Other,88,77,80,108,110,99,95,114,97,128,117,157,140,143,139,168,205,201,211,236,224,256,299,270,285,296,317,280
Indian,Other,5,7,6,7,12,4,7,11,10,11,8,17,10,29,29,37,30,50,45,50,45,59,36,39,41,51,55,46
Eurasian,Other,3,3,7,5,5,3,2,1,7,7,1,5,5,4,9,10,3,10,7,6,3,14,7,10,8,4,5,6
Caucasian,Other,4,4,2,2,5,2,3,2,4,8,4,8,5,3,4,5,8,15,2,15,25,10,23,18,22,34,22,29
Malay,Other,1,1,3,2,5,4,4,5,4,4,1,10,9,6,8,16,17,16,12,8,17,12,12,16,2,8,6,6
Total ,Total ,1046,1001,1123,1198,1374,1391,1408,1394,1651,1778,1761,1958,1979,1621,1723,2305,2445,2717,2810,3474,3550,3967,4183,3865,3891,4142,4007,3925
Chinese,Total ,441,396,468,454,500,522,547,560,568,643,585,603,612,562,585,718,779,765,733,846,872,944,1052,1033,1072,1106,1153,1117
Indian,Total ,85,74,87,87,97,92,96,105,100,117,96,95,98,109,99,104,96,137,128,128,118,159,114,130,136,159,150,144
Eurasian,Total ,89,69,54,61,73,67,62,43,63,66,52,43,47,42,54,71,57,65,60,67,71,80,73,91,88,91,70,87
Caucasian,Total ,29,35,29,29,33,33,33,36,39,42,38,40,46,34,40,34,49,54,47,59,76,76,103,88,98,142,105,134
Malay,Total ,49,60,53,58,89,94,102,121,156,194,211,277,308,222,218,216,184,169,119,99,129,159,182,113,96,110,81,80
