
Number
Variables,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Live-births By Birth Order,"50,560","47,241","44,562","45,934","47,088","49,678","48,269","43,268","39,948","42,783","38,364","39,441","40,779","41,217","42,250","42,654","40,585","41,556","42,484","38,379","43,616","52,957","47,669","51,142","49,114","49,402","50,225","49,554","48,635","48,577","47,333","43,664","43,336","46,997","41,451","40,760","37,485","37,174","37,492","38,317","39,490","39,826","39,570","37,967","39,654","42,663","39,720","42,232","42,185","41,251","39,615","39,115"
        1st Live-birth,"11,692","11,882","12,042","12,911","14,066","15,421","16,449","16,946","14,674","17,200","16,138","16,424","17,253","17,968","18,599","19,105","18,255","18,071","18,638","17,336","17,586","20,522","19,465","20,325","19,623","20,307","20,677","20,438","20,158","19,804","19,416","18,860","18,778","19,930","17,595","17,524","16,408","16,624","16,887","17,266","18,214","18,957","18,590","18,130","19,035","20,755","19,292","20,327","20,248","19,392","18,570","18,229"
        2nd Live-birth,"9,620","9,631","9,824","10,538","11,438","12,261","12,431","11,628","12,631","13,585","12,101","12,962","13,645","13,999","14,431","14,593","14,078","15,171","15,498","13,406","16,441","19,495","16,631","18,232","17,578","17,374","17,807","17,648","17,280","17,519","17,127","15,030","15,170","16,948","14,501","14,873","13,457","13,330","13,319","13,784","13,947","13,825","13,844","13,404","14,120","15,082","13,924","15,262","14,857","14,913","14,206","13,973"
        3rd Live-birth,"6,902","6,800","6,860","7,256","7,784","8,318","7,855","6,624","6,596","7,083","6,221","6,463","6,630","6,236","6,305","6,228","5,757","5,877","5,900","5,443","6,966","9,806","8,845","9,624","8,938","8,843","8,759","8,561","8,279","8,297","7,934","6,966","6,671","7,164","6,651","6,009","5,490","5,112","5,182","5,205","5,193","5,009","5,059","4,615","4,726","4,988","4,651","4,859","5,099","4,927","4,721","4,820"
        4th Live-birth,"5,394","4,728","4,381","4,588","4,660","4,821","4,508","3,497","2,854","2,648","2,231","2,181","2,002","1,885","1,876","1,777","1,655","1,606","1,525","1,337","1,590","2,036","2,017","2,258","2,299","2,223","2,279","2,223","2,212","2,291","2,184","2,108","1,970","2,134","1,909","1,674","1,498","1,481","1,545","1,483","1,558","1,475","1,450","1,296","1,285","1,299","1,294","1,243","1,394","1,378","1,380","1,420"
        5th Live-birth,"4,287","3,697","3,093","3,010","2,757","2,923","2,407","1,733","1,299",984,745,674,601,590,522,506,470,436,443,382,398,459,471,481,470,441,507,496,505,470,482,500,523,557,524,446,417,405,364,384,382,379,410,367,323,352,360,357,388,434,473,420
        6th Live-birth & Over,"12,344","10,315","8,213","7,480","6,154","5,657","4,379","2,712","1,810","1,179",879,659,538,422,438,391,302,276,236,205,235,229,237,218,206,213,192,185,199,195,189,200,221,260,266,230,213,221,194,195,196,180,217,155,164,187,199,184,199,207,265,253


Figures may not add up to the total due to birth order not reported.  Data prior to 2018 are based on date of occurrence while those for 2018 are based on date of registration.

SOURCE: REGISTRY OF BIRTHS AND DEATHS




Generated by: SingStat Table Builder
Date generated: 23/03/2019
Contact: info@singstat.gov.sg 
