
Number
Variables,1980,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total Aged 20-29 Years,"505,000","545,900","536,100","534,300","539,200","538,600","525,100","521,500","516,000","511,500","515,800","503,400","505,700","472,100","464,900","479,900","455,400","460,200","458,000","450,700","443,500","442,400","449,700","455,200","454,600","453,200","456,900","477,400","503,800","498,400","504,100","491,700","505,500","501,100","525,800","500,600","509,700"
        Single,"329,600","377,400","369,600","375,700","382,400","378,500","374,500","376,200","347,900","357,900","363,600","364,400","358,200","337,100","324,800","340,800","325,800","321,900","313,200","318,400","327,900","324,700","340,800","334,900","351,100","350,000","356,200","379,700","397,100","409,200","425,200","415,400","436,500","424,200","441,200","420,500","431,200"
        Married,"172,700","166,300","164,300","155,900","154,200","157,500","147,400","142,600","163,400","151,300","149,700","136,300","144,700","132,200","138,200","137,000","127,500","136,200","140,000","129,900","113,400","114,300","105,800","116,600","100,100","100,000","97,100","94,000","102,400","85,200","75,900","73,400","67,000","73,700","81,900","77,800","76,100"
        Widowed,600,600,300,200,600,300,500,300,"1,800",200,300,200,200,200,100,100,300,300,"1,700",100,100,100,200,100,100,100,100,100,200,100,100,0,100,0,200,100,100
        Divorced/Separated,"2,100","1,500","2,000","2,400","2,000","2,300","2,700","2,400","2,800","2,100","2,100","2,500","2,600","2,600","1,800","2,000","1,800","1,900","3,200","2,300","2,100","3,300","3,000","3,600","3,300","3,100","3,400","3,600","4,100","3,900","3,000","2,800","1,900","3,000","2,500","2,200","2,300"
Males Aged 20-29 Years,"257,900","278,700","272,100","270,900","275,800","273,000","267,900","265,600","262,000","259,700","258,200","257,300","252,900","239,400","225,600","238,100","223,700","224,200","224,700","221,500","217,700","215,900","222,800","226,600","223,900","222,900","227,200","240,800","251,000","249,000","256,300","248,400","255,600","252,000","266,400","256,000","258,000"
        Single,"193,400","219,000","213,300","215,100","220,700","218,700","215,600","215,500","203,500","208,100","207,600","210,500","204,900","195,000","181,900","193,200","184,400","180,900","175,900","179,600","181,700","179,700","189,900","187,900","192,700","191,700","195,500","209,900","216,000","220,200","232,400","224,300","232,700","226,700","236,100","227,300","230,000"
        Married,"63,700","59,200","58,100","55,200","54,400","53,300","51,400","49,200","56,900","51,000","50,100","45,900","47,300","43,600","43,200","44,100","38,600","42,600","46,300","41,200","35,200","35,300","32,100","37,600","30,400","30,500","31,000","30,000","33,900","27,800","23,000","23,400","22,300","24,500","29,300","28,100","27,200"
        Widowed,100,100,100,0,100,200,100,0,800,0,100,100,0,0,0,0,100,200,"1,500",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
        Divorced/Separated,700,400,600,600,600,800,800,900,800,600,500,700,700,800,600,700,600,500,"1,000",700,800,900,800,"1,100",800,800,600,900,"1,100","1,100",800,800,600,800,"1,100",700,800
Females Aged 20-29 Years,"247,100","267,100","264,100","263,400","263,400","265,600","257,100","255,900","253,900","251,800","257,500","246,100","252,800","232,700","239,300","241,800","231,700","236,000","233,300","229,100","225,800","226,500","226,900","228,600","230,700","230,300","229,700","236,600","252,800","249,400","247,800","243,200","249,900","249,100","259,400","244,600","251,600"
        Single,"136,100","158,400","156,300","160,600","161,700","159,800","158,900","160,700","144,400","149,800","156,000","153,900","153,300","142,100","142,900","147,500","141,400","140,900","137,200","138,800","146,200","145,000","150,900","147,000","158,400","158,300","160,700","169,800","181,100","189,100","192,800","191,100","203,800","197,500","205,200","193,200","201,200"
        Married,"109,000","107,100","106,200","100,800","99,800","104,200","95,900","93,400","106,500","100,200","99,600","90,400","97,400","88,600","95,000","92,900","88,900","93,600","93,700","88,700","78,200","78,900","73,700","79,000","69,800","69,500","66,100","64,000","68,500","57,500","52,800","50,000","44,800","49,300","52,600","49,700","48,900"
        Widowed,500,500,200,200,600,200,400,200,"1,000",200,200,100,200,200,100,100,100,100,200,100,100,100,200,100,100,100,100,100,100,100,100,0,100,0,200,100,100
        Divorced/Separated,"1,500","1,100","1,300","1,800","1,400","1,500","1,900","1,600","2,000","1,500","1,700","1,700","1,900","1,900","1,300","1,300","1,200","1,400","2,200","1,600","1,300","2,500","2,100","2,500","2,500","2,400","2,800","2,600","3,000","2,800","2,200","2,100","1,200","2,200","1,500","1,600","1,500"
Total Aged 30-39 Years,"318,900","371,700","407,300","432,700","451,500","479,300","497,800","501,200","545,800","548,400","559,400","562,200","583,100","594,300","604,500","597,400","598,600","604,800","591,500","597,800","602,100","596,900","575,900","592,900","582,400","594,000","582,300","594,700","609,900","588,800","575,400","574,100","566,700","571,700","558,800","570,200","569,200"
        Single,"48,800","65,400","70,800","79,000","84,400","92,300","99,300","102,600","122,500","116,000","124,400","125,000","124,300","130,900","127,300","124,400","126,300","126,200","124,100","118,700","125,700","133,800","122,700","132,500","132,400","132,400","134,500","137,100","149,300","144,000","139,500","148,700","147,300","140,600","141,400","143,300","144,600"
        Married,"262,800","300,000","328,200","345,000","356,800","376,900","388,300","387,700","408,500","420,800","422,600","424,400","446,600","449,600","463,200","459,100","461,200","465,600","449,900","464,300","462,800","450,500","440,100","443,600","434,300","445,800","430,800","439,100","439,700","426,500","416,800","409,700","403,100","413,100","402,800","412,200","408,400"
        Widowed,"2,800","2,800","3,000","2,700","3,100","3,100","2,700","3,600","4,800","2,700","2,800","2,600","2,100","2,400","2,100","1,800","1,800","1,400","2,300","2,300","1,400","1,300","1,600","1,400","1,600","1,200",900,"1,300","1,200",900,700,600,600,900,600,800,"1,500"
