ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,27359,275,275,0
1,1,365,27359,286,286,0
2,2,730,27359,273,273,0
3,3,1095,27359,255,255,0
4,4,1460,27359,280,280,0
5,5,1825,27359,291,291,0
6,6,2190,27359,263,263,0
7,7,2555,27359,271,271,0
8,8,2920,27359,304,304,0
9,9,3285,27359,278,278,0
10,10,3650,27359,270,270,0
11,11,4015,27359,284,284,0
12,12,4380,27359,295,295,0
13,13,4745,27359,302,302,0
14,14,5110,27359,292,292,0
15,15,5475,27359,307,307,0
16,16,5840,27359,313,313,0
17,17,6205,27359,288,288,0
18,18,6570,27359,316,316,0
19,19,6935,27359,323,323,0
20,20,7300,27359,328,328,0
21,21,7665,27359,333,333,0
22,22,8030,27359,345,345,0
23,23,8395,27359,322,322,0
24,24,8760,27359,339,339,0
25,25,9125,27359,330,330,0
26,26,9490,27359,334,334,0
27,27,9855,27359,313,313,0
28,28,10220,27359,318,318,0
29,29,10585,27359,340,340,0
30,30,10950,27359,346,346,0
31,31,11315,27359,312,312,0
32,32,11680,27359,317,317,0
33,33,12045,27359,332,332,0
34,34,12410,27359,334,334,0
35,35,12775,27359,369,369,0
36,36,13140,27359,360,360,0
37,37,13505,27359,347,347,0
38,38,13870,27359,356,356,0
39,39,14235,27359,352,352,0
40,40,14600,27359,353,353,0
41,41,14965,27359,376,376,0
42,42,15330,27359,325,325,0
43,43,15695,27359,377,377,0
44,44,16060,27359,363,363,0
45,45,16425,27359,384,384,0
46,46,16790,27359,420,420,0
47,47,17155,27359,376,376,0
48,48,17520,27359,384,384,0
49,49,17885,27359,410,410,0
50,50,18250,27359,366,366,0
51,51,18615,27359,405,405,0
52,52,18980,27359,360,360,0
53,53,19345,27359,387,387,0
54,54,19710,27359,411,411,0
55,55,20075,27359,422,422,0
56,56,20440,27359,415,415,0
57,57,20805,27359,403,403,0
58,58,21170,27359,368,368,0
59,59,21535,27359,423,423,0
60,60,21900,27359,440,440,0
61,61,22265,27359,422,422,0
62,62,22630,27359,401,401,0
63,63,22995,27359,416,416,0
64,64,23360,27359,419,419,0
65,65,23725,27359,430,430,0
66,66,24090,27359,422,422,0
67,67,24455,27359,432,432,0
68,68,24820,27359,406,406,0
69,69,25185,27359,400,400,0
70,70,25550,27359,423,423,0
71,71,25915,27359,417,417,0
72,72,26280,27359,393,393,0
73,73,26645,27359,437,437,0
74,74,27010,27359,419,419,0
75,75,27375,27359,384,384,0
76,76,27740,27359,409,409,0
77,77,28105,27359,380,380,0
78,78,28470,27359,367,367,0
79,79,28835,27359,363,363,0
80,80,29200,27359,367,367,0
81,81,29565,27359,358,358,0
82,82,29930,27359,408,408,0
83,83,30295,27359,352,352,0
84,84,30660,27359,339,339,0
85,85,31025,27359,406,406,0
86,86,31390,27359,310,310,0
87,87,31755,27359,340,340,0
88,88,32120,27359,312,312,0
89,89,32485,27359,314,314,0
90,90,32850,27359,332,332,0
91,91,33215,27359,285,285,0
92,92,33580,27359,338,338,0
93,93,33945,27359,328,328,0
94,94,34310,27359,279,279,0
95,95,34675,27359,325,325,0
96,96,35040,27359,353,353,0
97,97,35405,27359,335,335,0
98,98,35770,27359,362,362,0
99,99,36135,27359,333,333,0
100,100,36500,27405,366,320,0
101,101,36865,27417,350,338,0
102,102,37230,27436,354,335,0
103,103,37595,27447,377,366,0
104,104,37960,27452,355,350,0
105,105,38325,27501,365,316,0
106,106,38690,27486,325,340,0
107,107,39055,27489,353,350,0
108,108,39420,27512,361,338,0
109,109,39785,27507,301,306,0
110,110,40150,27494,334,347,0
111,111,40515,27470,314,338,0
112,112,40880,27430,315,355,0
113,113,41245,27385,320,365,0
114,114,41610,27362,315,338,0
115,115,41975,27326,296,332,0
116,116,42340,27281,299,344,0
117,117,42705,27221,309,369,0
118,118,43070,27190,334,365,0
119,119,43435,27120,313,383,0
120,120,43800,27086,312,346,0
