ind,time,age,male,female
0,100,0,180,164
1,100,1,173,206
2,100,2,187,185
3,100,3,170,188
4,100,4,198,188
5,100,5,179,183
6,100,6,188,186
7,100,7,170,179
8,100,8,168,185
9,100,9,175,211
10,100,10,191,172
11,100,11,208,180
12,100,12,191,191
13,100,13,177,178
14,100,14,204,185
15,100,15,211,206
16,100,16,226,191
17,100,17,201,223
18,100,18,198,223
19,100,19,233,214
20,100,20,233,242
21,100,21,219,203
22,100,22,218,267
23,100,23,187,228
24,100,24,208,231
25,100,25,227,227
26,100,26,242,220
27,100,27,203,243
28,100,28,234,215
29,100,29,224,211
30,100,30,252,275
31,100,31,208,238
32,100,32,266,215
33,100,33,236,228
34,100,34,235,257
35,100,35,214,232
36,100,36,219,247
37,100,37,231,249
38,100,38,230,208
39,100,39,227,234
40,100,40,217,240
41,100,41,229,237
42,100,42,226,210
43,100,43,216,205
44,100,44,220,220
45,100,45,183,225
46,100,46,209,241
47,100,47,219,199
48,100,48,230,223
49,100,49,202,213
50,100,50,214,190
51,100,51,191,199
52,100,52,215,220
53,100,53,213,201
54,100,54,223,210
55,100,55,186,220
56,100,56,187,209
57,100,57,226,192
58,100,58,171,186
59,100,59,198,202
60,100,60,199,180
61,100,61,173,206
62,100,62,189,203
63,100,63,198,205
64,100,64,186,184
65,100,65,177,171
66,100,66,149,166
67,100,67,141,192
68,100,68,147,178
69,100,69,144,174
70,100,70,132,165
71,100,71,162,181
72,100,72,140,154
73,100,73,119,176
74,100,74,128,168
75,100,75,119,140
76,100,76,84,142
77,100,77,100,106
78,100,78,94,119
79,100,79,94,113
80,100,80,74,113
81,100,81,61,74
82,100,82,53,87
83,100,83,46,73
84,100,84,42,68
85,100,85,38,58
86,100,86,28,65
87,100,87,31,53
88,100,88,19,33
89,100,89,15,32
90,100,90,16,28
91,100,91,11,28
92,100,92,6,15
93,100,93,3,14
94,100,94,4,7
95,100,95,8,10
96,100,96,4,5
97,100,97,2,10
98,100,98,2,1
99,100,99,0,5
100,100,100,2,1
101,100,101,0,0
102,101,0,173,168
103,101,1,180,164
104,101,2,173,206
105,101,3,187,185
106,101,4,170,187
107,101,5,198,188
108,101,6,179,183
109,101,7,188,186
110,101,8,170,179
111,101,9,168,184
112,101,10,175,211
113,101,11,191,172
114,101,12,208,180
115,101,13,190,190
116,101,14,177,178
117,101,15,204,184
118,101,16,210,206
119,101,17,225,191
120,101,18,200,223
121,101,19,198,223
122,101,20,233,214
123,101,21,233,242
124,101,22,219,203
125,101,23,218,267
126,101,24,186,228
127,101,25,208,231
128,101,26,227,227
129,101,27,241,220
130,101,28,203,243
131,101,29,233,215
132,101,30,224,211
133,101,31,252,275
134,101,32,208,238
135,101,33,265,215
136,101,34,233,228
137,101,35,234,257
138,101,36,213,232
139,101,37,219,247
140,101,38,230,249
141,101,39,229,207
142,101,40,225,234
143,101,41,215,240
144,101,42,226,237
145,101,43,226,210
146,101,44,216,205
147,101,45,220,220
148,101,46,183,224
149,101,47,209,241
150,101,48,219,198
151,101,49,229,223
152,101,50,199,212
153,101,51,214,190
154,101,52,191,197
155,101,53,215,220
156,101,54,211,199
157,101,55,220,209
158,101,56,181,220
159,101,57,187,206
160,101,58,222,190
161,101,59,170,184
162,101,60,197,199
163,101,61,198,178
164,101,62,170,204
165,101,63,187,199
166,101,64,194,203
167,101,65,182,182
168,101,66,169,171
169,101,67,146,161
170,101,68,137,189
171,101,69,145,175
172,101,70,136,169
173,101,71,131,155
174,101,72,154,173
175,101,73,135,151
176,101,74,118,169
177,101,75,120,163
178,101,76,114,139
179,101,77,80,133
180,101,78,92,102
181,101,79,85,114
182,101,80,87,105
183,101,81,64,101
184,101,82,54,73
185,101,83,49,78
186,101,84,35,67
187,101,85,37,58
188,101,86,35,51
189,101,87,22,60
190,101,88,29,51
191,101,89,16,26
192,101,90,13,27
193,101,91,14,23
194,101,92,8,23
