ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,54845,703,580,0
1,1,365,54976,674,543,0
2,2,730,55101,657,532,0
3,3,1095,55279,730,552,0
4,4,1460,55475,744,548,0
5,5,1825,55621,702,556,0
6,6,2190,55808,747,560,0
7,7,2555,55957,718,569,0
8,8,2920,56123,775,609,0
9,9,3285,56338,750,535,0
10,10,3650,56490,776,624,0
11,11,4015,56715,805,580,0
12,12,4380,56898,789,606,0
13,13,4745,57177,841,562,0
14,14,5110,57328,784,633,0
15,15,5475,57571,821,578,0
16,16,5840,57751,802,622,0
17,17,6205,58009,844,586,0
18,18,6570,58174,813,648,0
19,19,6935,58390,830,614,0
20,20,7300,58513,792,669,0
