ind,time,age,male,female
0,0,0,333,287
1,0,1,557,513
2,0,2,529,510
3,0,3,577,554
4,0,4,574,596
5,0,5,630,651
6,0,6,571,628
7,0,7,610,585
8,0,8,610,626
9,0,9,614,600
10,0,10,615,574
11,0,11,604,615
12,0,12,597,575
13,0,13,569,600
14,0,14,576,614
15,0,15,542,583
16,0,16,541,544
17,0,17,584,578
18,0,18,567,540
19,0,19,532,541
20,0,20,559,507
21,0,21,321,307
22,0,22,318,326
23,0,23,320,320
24,0,24,332,317
25,0,25,342,343
26,0,26,327,359
27,0,27,316,352
28,0,28,360,350
29,0,29,410,366
30,0,30,373,376
31,0,31,409,398
32,0,32,398,424
33,0,33,395,406
34,0,34,445,414
35,0,35,409,438
36,0,36,430,467
37,0,37,428,391
38,0,38,457,413
39,0,39,453,428
40,0,40,425,450
41,0,41,436,436
42,0,42,410,437
43,0,43,390,412
44,0,44,395,397
45,0,45,432,425
46,0,46,391,413
47,0,47,359,416
48,0,48,378,366
49,0,49,324,337
50,0,50,300,333
51,0,51,602,592
52,0,52,558,570
53,0,53,524,550
54,0,54,482,465
55,0,55,444,457
56,0,56,472,420
57,0,57,391,441
58,0,58,412,371
59,0,59,377,347
60,0,60,339,349
61,0,61,290,327
62,0,62,303,287
63,0,63,288,318
64,0,64,271,286
65,0,65,263,279
66,0,66,287,250
67,0,67,251,225
68,0,68,232,248
69,0,69,235,223
70,0,70,207,219
71,0,71,211,204
72,0,72,155,195
73,0,73,182,161
74,0,74,149,151
75,0,75,117,120
76,0,76,149,129
77,0,77,125,116
78,0,78,109,92
79,0,79,92,89
80,0,80,98,90
81,0,81,79,80
82,0,82,70,69
83,0,83,56,87
84,0,84,57,70
85,0,85,51,60
86,0,86,46,54
87,0,87,43,36
88,0,88,40,50
89,0,89,38,40
90,0,90,27,49
91,0,91,27,28
92,0,92,31,27
93,0,93,27,21
94,0,94,27,30
95,0,95,17,35
96,0,96,17,13
97,0,97,16,17
98,0,98,12,13
99,0,99,9,12
100,0,100,11,6
101,0,101,0,0
102,1,0,312,335
103,1,1,333,287
104,1,2,556,513
105,1,3,529,509
106,1,4,577,553
107,1,5,574,596
108,1,6,630,651
109,1,7,571,628
110,1,8,610,584
111,1,9,610,625
112,1,10,614,600
113,1,11,615,574
114,1,12,604,615
115,1,13,597,575
116,1,14,569,599
117,1,15,576,614
118,1,16,542,583
119,1,17,541,544
120,1,18,584,578
121,1,19,566,540
122,1,20,531,540
123,1,21,559,507
124,1,22,320,307
125,1,23,318,326
126,1,24,320,320
127,1,25,332,317
128,1,26,342,343
129,1,27,327,359
130,1,28,316,351
131,1,29,360,350
132,1,30,410,366
133,1,31,373,376
134,1,32,407,398
135,1,33,398,424
136,1,34,395,406
137,1,35,445,413
138,1,36,408,438
139,1,37,430,466
140,1,38,427,390
141,1,39,455,412
142,1,40,452,428
143,1,41,424,450
144,1,42,435,436
145,1,43,408,434
146,1,44,390,412
147,1,45,393,396
148,1,46,431,425
149,1,47,390,413
150,1,48,359,414
151,1,49,377,366
152,1,50,322,335
153,1,51,298,331
154,1,52,596,591
155,1,53,558,567
156,1,54,518,549
