# household distribution - source unknown
# row 0:
#   0=dummy probability
#   1=first age cut-off
#   2=second age cut-off
#   3=third age cut-off
#   ...
# columns:
#   0=proportion
#   1=number of retired people   (after 3rd cutoff)
#   2=number of adults           (between 2nd and 3rd cutoff)
#   3=number of children         (up-to 1st cutoff)
0.0 20 50
0.001875278 1 1 1
0.011087797 0 4 0
0.035906620 0 2 2
0.020781256 1 0 0
0.002653896 2 1 1
0.016370378 1 2 0
0.168292101 0 2 0
0.013638911 2 2 0
0.023998511 2 0 0
0.007626193 1 0 1
0.039607724 0 2 1
0.002676198 1 1 2
0.002739224 1 2 1
0.144757077 0 1 0
0.006284216 4 0 1
0.035622517 0 1 3
0.022967787 1 1 0
0.016924041 0 2 3
0.012936894 1 0 3
0.002535600 2 1 2
0.035824201 0 3 1
0.006194040 3 0 2
0.006116469 2 3 0
0.002528813 1 3 1
0.013594308 3 1 0
0.004483601 0 5 1
0.017039427 0 1 4
0.000552693 3 2 2
0.013525464 1 3 0
0.013184151 2 0 2
0.001473848 2 1 3
0.001644504 1 0 5
0.004411847 0 2 4
0.014408803 2 0 1
0.006011748 1 0 4
0.006378271 3 2 0
0.000291861 4 0 3
0.039404100 0 1 2
0.016190995 2 1 0
0.001469969 3 2 1
0.001672623 5 0 1
0.000245318 3 1 4
0.014337050 1 0 2
0.000276346 4 1 3
0.013252996 3 0 1
0.016907557 0 3 2
0.000554632 3 1 3
0.000549784 2 3 2
0.013659274 0 3 0
0.001437002 1 3 2
0.006266763 1 4 0
0.002611232 3 1 1
0.000307375 3 4 0
0.000076601 5 0 3
0.000554632 4 1 2
0.017026822 0 4 1
0.001657109 4 2 0
0.001456394 2 2 2
0.021366916 0 1 1
0.004462269 0 1 5
0.002508450 2 2 1
0.001740498 3 3 0
0.001419548 4 1 1
0.001702682 4 0 2
0.006089319 2 0 3
0.000549784 1 3 3
0.000542997 5 1 1
0.001486453 1 4 1
0.001443789 3 1 2
0.000831948 0 6 1
0.000260832 2 4 2
0.001682320 2 4 0
0.000547845 4 2 1
0.001481605 2 3 1
0.002612202 1 1 3
0.000508090 2 2 3
0.000103751 6 2 0
0.006348212 4 1 0
0.001375915 1 2 3
0.000307375 4 3 0
0.001698804 1 5 0
0.000717531 4 0 0
0.001485484 1 1 4
0.000545906 1 1 5
0.000568207 3 3 1
0.000264711 3 3 2
0.000257923 5 2 1
0.000279255 1 0 6
0.004387606 0 3 3
0.002638382 1 2 2
0.001655170 3 0 3
0.001662927 5 1 0
0.000272468 1 6 1
0.000087267 1 0 7
0.000576934 2 4 1
0.000308345 6 0 1
0.000091146 3 0 5
0.000256954 1 2 5
0.000303496 3 0 4
0.004547597 0 4 2
0.000232713 5 1 2
0.000304466 6 1 0
0.000573055 1 5 1
0.001988725 3 0 0
0.000269559 1 1 6
0.000276346 3 2 3
0.000747590 0 1 6
0.000081449 4 4 0
0.000330646 2 5 0
0.000843584 0 3 4
0.000088237 4 0 4
0.000248227 6 1 1
0.000309314 5 0 0
0.000265680 4 3 1
0.000250166 4 2 2
0.001600870 2 0 4
0.000244348 0 3 5
0.000264711 2 3 3
0.000331616 5 2 0
0.000812556 0 4 3
0.000281195 5 0 2
0.000584691 1 2 4
0.000130901 6 0 0
0.000274407 1 4 3
0.000280225 1 3 4
0.000551723 2 1 4
0.000262772 2 5 1
0.000040725 7 0 0
0.000579843 1 4 2
0.000255984 0 5 3
0.000288952 3 4 1
0.000281195 2 2 4
0.000300587 1 6 0
0.000225925 0 7 1
0.003774796 0 6 0
0.000211381 0 1 7
0.000018423 8 0 0
0.000095024 3 5 0
0.006828182 0 5 0
0.000807707 0 2 5
0.000232713 2 1 5
0.000223986 0 6 2
0.000098903 2 6 0
0.000090176 7 1 0
0.000236591 0 4 4
0.000288952 2 0 5
0.000232713 1 5 2
0.000759226 0 5 2
0.000083389 7 0 1
0.000258893 0 2 6
0.001376884 0 7 0
0.000097933 1 7 0
0.000096964 5 3 0
0.000074662 6 0 2
0.000088237 2 0 6
0.000781527 0 8 0
