# household distribution - source unknown
# row 0:
#   0=dummy probability
#   1=first age cut-off
#   2=second age cut-off
#   3=third age cut-off
#   ...
# columns:
#   0=proportion
#   1=number of adults (18+) in household                   (after 3rd cutoff)
#   2=number of school age children (5--17) in household    (between 2nd and 3rd cutoff)
#   3=number of pre-school age children (0--4) in household (up-to 1st cutoff)
0.0 20 50
0.06103202396670641 0 1 0
0.06103202396670641 0 0 1
0.06597141925475514 0 2 0
0.06597141925475514 0 0 2
0.02622514776298237 0 1 1
0.007559408441928483 0 3 0
0.007559408441928483 0 0 3
0.03193990055760005 0 2 1
0.03193990055760005 0 1 2
0.0021543490983409754 0 4 0
0.0021543490983409754 0 0 4
0.023538324189938686 0 3 1
0.023538324189938686 0 2 2
0.023538324189938686 0 1 3
0.0009295272602667616 0 5 0
0.0009295272602667616 0 0 5
0.009581941078647242 0 4 1
0.009581941078647242 0 3 2
0.009581941078647242 0 2 3
0.009581941078647242 0 1 4
0.000388893427774852 0 6 0
0.000388893427774852 0 0 6
0.0025255407708627705 0 5 1
0.0025255407708627705 0 4 2
0.0025255407708627705 0 3 3
0.0025255407708627705 0 2 4
0.0025255407708627705 0 1 5
0.00015063652369562124 0 7 0
0.00015063652369562124 0 0 7
0.0005381940743435373 0 6 1
0.0005381940743435373 0 5 2
0.0005381940743435373 0 4 3
0.0005381940743435373 0 3 4
0.0005381940743435373 0 2 5
0.0005381940743435373 0 1 6
0.00011346032710659663 0 8 0
0.00011346032710659663 0 0 8
0.00022150382026409846 0 7 1
0.00022150382026409846 0 6 2
0.00022150382026409846 0 5 3
0.00022150382026409846 0 4 4
0.00022150382026409846 0 3 5
0.00022150382026409846 0 2 6
0.00022150382026409846 0 1 7
0.01472902920469644 1 1 0
0.01472902920469644 1 0 1
0.029686695062990022 2 1 0
0.029686695062990022 1 2 0
0.029686695062990022 2 0 1
0.029686695062990022 1 0 2
0.022926241179125565 3 1 0
0.022926241179125565 2 2 0
0.022926241179125565 1 3 0
0.022926241179125565 3 0 1
0.022926241179125565 2 0 2
0.022926241179125565 1 0 3
0.009377593433415697 4 1 0
0.009377593433415697 3 2 0
0.009377593433415697 2 3 0
0.009377593433415697 1 4 0
0.009377593433415697 4 0 1
0.009377593433415697 3 0 2
0.009377593433415697 2 0 3
0.009377593433415697 1 0 4
0.0024319169285228273 5 1 0
0.0024319169285228273 4 2 0
0.0024319169285228273 3 3 0
0.0024319169285228273 2 4 0
0.0024319169285228273 1 5 0
0.0024319169285228273 5 0 1
0.0024319169285228273 4 0 2
0.0024319169285228273 3 0 3
0.0024319169285228273 2 0 4
0.0024319169285228273 1 0 5
0.000512559716712178 6 1 0
0.000512559716712178 5 2 0
0.000512559716712178 4 3 0
0.000512559716712178 3 4 0
0.000512559716712178 2 5 0
0.000512559716712178 1 6 0
0.000512559716712178 6 0 1
0.000512559716712178 5 0 2
0.000512559716712178 4 0 3
0.000512559716712178 3 0 4
0.000512559716712178 2 0 5
0.000512559716712178 1 0 6
0.00020579595856658474 7 1 0
0.00020579595856658474 6 2 0
0.00020579595856658474 5 3 0
0.00020579595856658474 4 4 0
0.00020579595856658474 3 5 0
0.00020579595856658474 2 6 0
0.00020579595856658474 1 7 0
0.00020579595856658474 7 0 1
0.00020579595856658474 6 0 2
0.00020579595856658474 5 0 3
0.00020579595856658474 4 0 4
0.00020579595856658474 3 0 5
0.00020579595856658474 2 0 6
0.00020579595856658474 1 0 7
0.004145130170177235 1 1 1
0.0059506616064081185 2 1 1
0.0059506616064081185 1 2 1
0.0059506616064081185 1 1 2
0.005232172376910731 3 1 1
0.005232172376910731 2 2 1
0.005232172376910731 1 3 1
0.005232172376910731 2 1 2
0.005232172376910731 1 2 2
0.005232172376910731 1 1 3
0.003051989046772296 4 1 1
0.003051989046772296 3 2 1
0.003051989046772296 2 3 1
0.003051989046772296 1 4 1
0.003051989046772296 3 1 2
0.003051989046772296 2 2 2
0.003051989046772296 1 3 2
0.003051989046772296 2 1 3
0.003051989046772296 1 2 3
0.003051989046772296 1 1 4
0.001149765610030394 5 1 1
0.001149765610030394 4 2 1
0.001149765610030394 3 3 1
0.001149765610030394 2 4 1
0.001149765610030394 1 5 1
0.001149765610030394 4 1 2
0.001149765610030394 3 2 2
0.001149765610030394 2 3 2
0.001149765610030394 1 4 2
0.001149765610030394 3 1 3
0.001149765610030394 2 2 3
0.001149765610030394 1 3 3
0.001149765610030394 2 1 4
0.001149765610030394 1 2 4
0.001149765610030394 1 1 5
0.0005549950578979589 6 1 1
0.0005549950578979589 5 2 1
0.0005549950578979589 4 3 1
0.0005549950578979589 3 4 1
0.0005549950578979589 2 5 1
0.0005549950578979589 1 6 1
0.0005549950578979589 5 1 2
0.0005549950578979589 4 2 2
0.0005549950578979589 3 3 2
0.0005549950578979589 2 4 2
0.0005549950578979589 1 5 2
0.0005549950578979589 4 1 3
0.0005549950578979589 3 2 3
0.0005549950578979589 2 3 3
0.0005549950578979589 1 4 3
0.0005549950578979589 3 1 4
0.0005549950578979589 2 2 4
0.0005549950578979589 1 3 4
0.0005549950578979589 2 1 5
0.0005549950578979589 1 2 5
0.0005549950578979589 1 1 6
