ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16274,54,148,0
1,1,365,16169,76,181,0
2,2,730,16143,99,125,0
3,3,1095,16064,72,151,0
4,4,1460,15996,81,149,0
5,5,1825,15939,79,136,0
6,6,2190,15881,85,143,0
7,7,2555,15821,72,132,0
8,8,2920,15756,93,158,0
9,9,3285,15695,99,160,0
10,10,3650,15632,105,168,0
11,11,4015,15587,108,153,0
12,12,4380,15541,108,154,0
13,13,4745,15488,120,173,0
14,14,5110,15410,97,175,0
15,15,5475,15359,115,166,0
16,16,5840,15314,119,164,0
17,17,6205,15256,123,181,0
18,18,6570,15186,120,190,0
19,19,6935,15132,122,176,0
20,20,7300,15062,140,210,0
