ind,time,age,male,female
0,0,0,23,25
1,0,1,126,127
2,0,2,122,118
3,0,3,150,157
4,0,4,148,148
5,0,5,164,138
6,0,6,154,171
7,0,7,157,146
8,0,8,151,141
9,0,9,159,132
10,0,10,147,128
11,0,11,149,141
12,0,12,144,158
13,0,13,149,158
14,0,14,143,133
15,0,15,149,133
16,0,16,142,155
17,0,17,131,132
18,0,18,120,146
19,0,19,149,136
20,0,20,133,138
21,0,21,69,87
22,0,22,88,48
23,0,23,77,85
24,0,24,85,89
25,0,25,98,89
26,0,26,100,90
27,0,27,94,103
28,0,28,97,108
29,0,29,109,81
30,0,30,85,90
31,0,31,94,126
32,0,32,84,117
33,0,33,115,91
34,0,34,102,97
35,0,35,100,98
36,0,36,107,131
37,0,37,110,98
38,0,38,96,119
39,0,39,131,103
40,0,40,99,115
41,0,41,109,104
42,0,42,100,110
43,0,43,113,101
44,0,44,87,98
45,0,45,94,111
46,0,46,107,107
47,0,47,81,105
48,0,48,88,105
49,0,49,83,86
50,0,50,96,94
51,0,51,150,133
52,0,52,115,142
53,0,53,138,123
54,0,54,128,123
55,0,55,122,101
56,0,56,120,101
57,0,57,98,89
58,0,58,90,97
59,0,59,91,86
60,0,60,93,70
61,0,61,92,60
62,0,62,71,74
63,0,63,75,73
64,0,64,69,56
65,0,65,65,72
66,0,66,66,61
67,0,67,61,59
68,0,68,69,47
69,0,69,50,48
70,0,70,60,65
71,0,71,53,62
72,0,72,42,56
73,0,73,36,41
74,0,74,57,47
75,0,75,29,35
76,0,76,35,42
77,0,77,28,28
78,0,78,29,32
79,0,79,23,25
80,0,80,24,28
81,0,81,14,15
82,0,82,22,17
83,0,83,15,16
84,0,84,17,18
85,0,85,15,15
86,0,86,12,9
87,0,87,17,11
88,0,88,9,7
89,0,89,8,13
90,0,90,8,5
91,0,91,6,9
92,0,92,6,4
93,0,93,4,9
94,0,94,3,11
95,0,95,3,7
96,0,96,5,6
97,0,97,2,3
98,0,98,3,2
99,0,99,0,3
100,0,100,0,1
101,0,101,0,0
102,1,0,43,38
103,1,1,23,25
104,1,2,126,127
105,1,3,122,118
106,1,4,150,157
107,1,5,148,148
108,1,6,164,138
109,1,7,154,171
110,1,8,157,146
111,1,9,151,141
112,1,10,159,132
113,1,11,147,128
114,1,12,149,141
115,1,13,144,158
116,1,14,148,158
117,1,15,143,133
118,1,16,149,133
119,1,17,142,155
120,1,18,131,132
121,1,19,120,146
122,1,20,149,135
123,1,21,133,138
124,1,22,69,87
125,1,23,88,48
126,1,24,77,85
127,1,25,85,89
128,1,26,98,89
129,1,27,100,90
130,1,28,94,103
131,1,29,97,108
132,1,30,108,81
133,1,31,85,90
134,1,32,94,126
135,1,33,84,117
136,1,34,115,91
137,1,35,102,97
138,1,36,100,98
139,1,37,107,131
140,1,38,110,98
141,1,39,96,119
142,1,40,131,102
143,1,41,99,114
144,1,42,108,104
145,1,43,100,110
146,1,44,113,101
147,1,45,87,98
148,1,46,94,111
149,1,47,107,107
150,1,48,81,105
151,1,49,87,105
152,1,50,82,86
153,1,51,96,94
154,1,52,148,133
155,1,53,115,141
156,1,54,135,123
157,1,55,126,122
158,1,56,121,101
159,1,57,120,100
160,1,58,97,87
161,1,59,89,96
162,1,60,89,86
163,1,61,92,69
164,1,62,91,59
165,1,63,69,74
166,1,64,74,72
167,1,65,68,55
168,1,66,62,71
169,1,67,65,60
170,1,68,60,59
171,1,69,66,46
172,1,70,50,48
173,1,71,57,64
174,1,72,50,60
