ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16225,12,154,0
1,1,365,16094,6,137,0
2,2,730,15956,8,146,0
3,3,1095,15816,10,150,0
4,4,1460,15694,17,139,0
5,5,1825,15558,9,145,0
6,6,2190,15424,4,138,0
7,7,2555,15271,16,169,0
8,8,2920,15134,9,146,0
9,9,3285,14992,10,152,0
10,10,3650,14855,20,157,0
11,11,4015,14702,16,169,0
12,12,4380,14532,16,186,0
13,13,4745,14398,15,149,0
14,14,5110,14229,18,187,0
15,15,5475,14080,19,168,0
16,16,5840,13905,10,185,0
17,17,6205,13750,14,169,0
18,18,6570,13583,16,183,0
19,19,6935,13409,19,193,0
20,20,7300,13250,14,173,0
