ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,62,150,0
1,1,365,16204,62,139,0
2,2,730,16115,59,148,0
3,3,1095,16036,83,162,0
4,4,1460,15981,68,123,0
5,5,1825,15915,92,158,0
6,6,2190,15868,112,159,0
7,7,2555,15791,79,156,0
8,8,2920,15732,82,141,0
9,9,3285,15676,101,157,0
10,10,3650,15611,92,157,0
11,11,4015,15575,100,136,0
12,12,4380,15524,116,167,0
13,13,4745,15484,108,148,0
14,14,5110,15413,97,168,0
15,15,5475,15403,143,153,0
16,16,5840,15339,123,187,0
17,17,6205,15273,122,188,0
18,18,6570,15219,121,175,0
19,19,6935,15161,119,177,0
20,20,7300,15084,131,208,0
