ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,46,133,0
1,1,365,16196,60,145,0
2,2,730,16102,37,131,0
3,3,1095,15994,36,144,0
4,4,1460,15888,44,150,0
5,5,1825,15766,30,152,0
6,6,2190,15668,38,136,0
7,7,2555,15547,31,152,0
8,8,2920,15447,24,124,0
9,9,3285,15300,23,170,0
10,10,3650,15176,24,148,0
11,11,4015,15032,21,165,0
12,12,4380,14887,18,163,0
13,13,4745,14740,16,163,0
14,14,5110,14568,7,179,0
15,15,5475,14429,22,161,0
16,16,5840,14295,10,144,0
17,17,6205,14124,10,181,0
18,18,6570,13948,11,187,0
19,19,6935,13806,7,149,0
20,20,7300,13604,7,209,0
