ind,time,age,male,female
0,0,0,39,36
1,0,1,155,121
2,0,2,134,130
3,0,3,129,144
4,0,4,147,128
5,0,5,139,134
6,0,6,164,161
7,0,7,152,177
8,0,8,160,146
9,0,9,159,156
10,0,10,150,165
11,0,11,158,149
12,0,12,134,156
13,0,13,167,154
14,0,14,159,157
15,0,15,128,135
16,0,16,132,132
17,0,17,144,127
18,0,18,128,129
19,0,19,133,127
20,0,20,123,135
21,0,21,86,74
22,0,22,81,96
23,0,23,82,81
24,0,24,82,87
25,0,25,85,80
26,0,26,79,91
27,0,27,80,99
28,0,28,85,101
29,0,29,85,96
30,0,30,121,91
31,0,31,103,108
32,0,32,108,93
33,0,33,90,104
34,0,34,88,99
35,0,35,113,94
36,0,36,114,123
37,0,37,109,109
38,0,38,99,109
39,0,39,107,96
40,0,40,111,106
41,0,41,102,125
42,0,42,88,113
43,0,43,103,105
44,0,44,116,104
45,0,45,85,127
46,0,46,90,98
47,0,47,104,93
48,0,48,93,98
49,0,49,80,78
50,0,50,77,92
51,0,51,151,136
52,0,52,144,145
53,0,53,122,133
54,0,54,111,111
55,0,55,121,109
56,0,56,95,114
57,0,57,90,103
58,0,58,74,120
59,0,59,91,102
60,0,60,87,85
61,0,61,76,76
62,0,62,71,77
63,0,63,69,68
64,0,64,64,82
65,0,65,59,79
66,0,66,69,67
67,0,67,71,69
68,0,68,52,52
69,0,69,75,56
70,0,70,52,62
71,0,71,44,44
72,0,72,52,49
73,0,73,36,44
74,0,74,45,44
75,0,75,32,29
76,0,76,24,27
77,0,77,35,37
78,0,78,26,25
79,0,79,18,28
80,0,80,20,22
81,0,81,21,23
82,0,82,17,17
83,0,83,17,22
84,0,84,17,10
85,0,85,14,20
86,0,86,9,9
87,0,87,11,5
88,0,88,16,10
89,0,89,8,11
90,0,90,7,11
91,0,91,9,6
92,0,92,7,9
93,0,93,10,11
94,0,94,7,5
95,0,95,10,5
96,0,96,3,8
97,0,97,1,4
98,0,98,2,3
99,0,99,3,0
100,0,100,1,4
101,0,101,0,0
102,1,0,51,39
103,1,1,39,36
104,1,2,155,120
105,1,3,134,130
106,1,4,129,144
107,1,5,147,128
108,1,6,139,134
109,1,7,164,161
110,1,8,152,177
111,1,9,160,146
112,1,10,159,156
113,1,11,150,165
114,1,12,158,149
115,1,13,134,156
116,1,14,167,153
117,1,15,159,157
118,1,16,128,135
119,1,17,132,132
120,1,18,144,127
121,1,19,128,129
122,1,20,133,127
123,1,21,123,135
124,1,22,86,74
125,1,23,81,96
126,1,24,82,81
127,1,25,82,87
128,1,26,85,80
129,1,27,79,91
130,1,28,80,99
131,1,29,85,100
132,1,30,85,95
133,1,31,121,91
134,1,32,103,108
135,1,33,108,93
136,1,34,90,104
137,1,35,88,99
138,1,36,113,94
139,1,37,113,123
140,1,38,109,109
141,1,39,99,109
142,1,40,107,96
143,1,41,111,106
144,1,42,102,124
145,1,43,88,112
146,1,44,103,105
147,1,45,116,104
148,1,46,85,127
149,1,47,90,97
150,1,48,104,93
151,1,49,93,98
152,1,50,78,78
153,1,51,77,91
154,1,52,148,136
155,1,53,143,145
156,1,54,121,133
157,1,55,111,109
158,1,56,120,108
159,1,57,95,113
160,1,58,89,102
161,1,59,74,120
162,1,60,91,101
163,1,61,86,85
164,1,62,74,76
165,1,63,70,76
166,1,64,67,68
167,1,65,63,81
168,1,66,58,78
169,1,67,67,67
170,1,68,71,69
171,1,69,51,50
172,1,70,73,55
173,1,71,50,61
174,1,72,44,42
175,1,73,47,48
176,1,74,34,40
177,1,75,41,43
178,1,76,31,28
179,1,77,20,25
180,1,78,32,37
181,1,79,24,23
182,1,80,16,26
183,1,81,16,19
184,1,82,17,22
185,1,83,15,16
186,1,84,12,21
187,1,85,13,9
188,1,86,11,18
189,1,87,8,9
190,1,88,8,5
191,1,89,14,9
192,1,90,6,10
193,1,91,6,8
194,1,92,7,6
195,1,93,7,7
196,1,94,10,10
197,1,95,6,2
198,1,96,10,3
199,1,97,2,5
200,1,98,1,4
201,1,99,2,1
202,1,100,3,0
203,1,101,0,0
204,2,0,36,46
205,2,1,51,39
206,2,2,39,36
207,2,3,155,120
208,2,4,133,130
209,2,5,129,144
210,2,6,147,128
211,2,7,139,134
212,2,8,163,161
213,2,9,152,177
214,2,10,160,146
215,2,11,159,156
216,2,12,150,165
217,2,13,158,149
218,2,14,134,156
219,2,15,167,153
220,2,16,159,157
221,2,17,128,135
222,2,18,132,132
223,2,19,144,127
224,2,20,127,129
225,2,21,132,127
226,2,22,123,135
227,2,23,86,74
228,2,24,80,96
229,2,25,82,81
230,2,26,82,87
231,2,27,85,80
232,2,28,79,91
233,2,29,80,99
234,2,30,85,100
235,2,31,85,95
236,2,32,121,91
237,2,33,103,108
238,2,34,108,93
239,2,35,90,104
240,2,36,88,99
241,2,37,113,94
242,2,38,113,123
243,2,39,109,108
244,2,40,99,108
245,2,41,107,96
246,2,42,111,106
247,2,43,101,124
248,2,44,88,112
249,2,45,103,105
250,2,46,116,104
251,2,47,85,126
252,2,48,90,97
253,2,49,104,93
254,2,50,93,98
255,2,51,76,76
256,2,52,77,91
257,2,53,148,136
258,2,54,142,145
259,2,55,120,131
260,2,56,106,109
261,2,57,119,107
262,2,58,94,113
263,2,59,87,102
264,2,60,74,120
265,2,61,90,99
266,2,62,85,84
267,2,63,72,73
268,2,64,66,75
269,2,65,66,68
270,2,66,62,80
271,2,67,55,78
272,2,68,65,67
273,2,69,70,69
274,2,70,49,50
275,2,71,72,54
276,2,72,46,59
277,2,73,43,41
278,2,74,46,45
279,2,75,31,40
280,2,76,40,41
281,2,77,28,27
282,2,78,18,23
283,2,79,30,37
284,2,80,23,21
285,2,81,15,23
286,2,82,16,16
287,2,83,16,20
288,2,84,11,14
289,2,85,10,21
290,2,86,9,9
291,2,87,9,16
292,2,88,7,9
293,2,89,6,5
294,2,90,13,8
295,2,91,6,10
296,2,92,6,8
297,2,93,7,3
298,2,94,6,5
299,2,95,9,8
300,2,96,5,2
301,2,97,8,3
302,2,98,2,3
303,2,99,1,4
304,2,100,2,1
305,2,101,0,0
306,3,0,50,61
307,3,1,36,46
308,3,2,51,39
309,3,3,39,36
310,3,4,155,119
311,3,5,133,130
312,3,6,129,144
313,3,7,147,128
314,3,8,139,133
315,3,9,163,161
316,3,10,152,177
317,3,11,160,146
318,3,12,159,156
319,3,13,150,165
320,3,14,158,149
321,3,15,134,156
322,3,16,167,153
323,3,17,159,157
324,3,18,128,135
325,3,19,132,132
326,3,20,144,127
327,3,21,126,129
328,3,22,132,127
329,3,23,123,135
330,3,24,86,74
331,3,25,80,95
332,3,26,82,81
333,3,27,82,87
334,3,28,85,80
335,3,29,79,91
336,3,30,80,99
337,3,31,85,100
338,3,32,85,95
339,3,33,121,90
340,3,34,102,108
341,3,35,108,93
342,3,36,89,104
343,3,37,88,99
