ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16269,61,159,0
1,1,365,16213,80,136,0
2,2,730,16163,80,130,0
3,3,1095,16092,66,137,0
4,4,1460,16032,91,151,0
5,5,1825,15946,63,149,0
6,6,2190,15901,86,131,0
7,7,2555,15843,82,140,0
8,8,2920,15772,76,147,0
9,9,3285,15736,93,129,0
10,10,3650,15687,100,149,0
11,11,4015,15634,98,151,0
12,12,4380,15545,97,186,0
13,13,4745,15506,121,160,0
14,14,5110,15421,113,198,0
15,15,5475,15338,94,177,0
16,16,5840,15270,123,191,0
17,17,6205,15164,103,209,0
18,18,6570,15107,120,177,0
19,19,6935,15058,130,179,0
20,20,7300,14995,118,181,0
