ind,time,age,male,female
0,0,0,31,27
1,0,1,127,117
2,0,2,155,142
3,0,3,142,135
4,0,4,153,162
5,0,5,165,134
6,0,6,168,141
7,0,7,157,169
8,0,8,166,166
9,0,9,171,151
10,0,10,156,170
11,0,11,171,171
12,0,12,145,154
13,0,13,151,149
14,0,14,142,136
15,0,15,132,145
16,0,16,132,131
17,0,17,127,141
18,0,18,135,156
19,0,19,131,130
20,0,20,137,124
21,0,21,67,73
22,0,22,73,75
23,0,23,72,88
24,0,24,79,81
25,0,25,76,77
26,0,26,87,89
27,0,27,94,90
28,0,28,91,94
29,0,29,97,96
30,0,30,83,90
31,0,31,93,96
32,0,32,106,99
33,0,33,97,103
34,0,34,99,98
35,0,35,88,112
36,0,36,99,102
37,0,37,96,112
38,0,38,110,108
39,0,39,100,95
40,0,40,103,107
41,0,41,110,131
42,0,42,109,106
43,0,43,108,102
44,0,44,74,96
45,0,45,93,113
46,0,46,86,94
47,0,47,106,108
48,0,48,80,98
49,0,49,86,90
50,0,50,104,85
51,0,51,153,154
52,0,52,137,138
53,0,53,121,137
54,0,54,130,111
55,0,55,118,113
56,0,56,113,107
57,0,57,123,108
58,0,58,90,88
59,0,59,79,77
60,0,60,90,91
61,0,61,71,79
62,0,62,79,65
63,0,63,61,84
64,0,64,68,67
65,0,65,61,61
66,0,66,68,56
67,0,67,63,51
68,0,68,61,68
69,0,69,62,59
70,0,70,45,52
71,0,71,58,45
72,0,72,51,43
73,0,73,37,55
74,0,74,46,39
75,0,75,35,33
76,0,76,31,30
77,0,77,31,36
78,0,78,36,31
79,0,79,26,27
80,0,80,24,22
81,0,81,18,26
82,0,82,20,21
83,0,83,18,18
84,0,84,11,14
85,0,85,12,20
86,0,86,15,12
87,0,87,10,14
88,0,88,15,5
89,0,89,11,10
90,0,90,8,15
91,0,91,6,5
92,0,92,4,6
93,0,93,8,6
94,0,94,8,4
95,0,95,12,5
96,0,96,5,6
97,0,97,6,2
98,0,98,2,2
99,0,99,1,1
100,0,100,4,2
101,0,101,0,0
102,1,0,15,33
103,1,1,31,27
104,1,2,127,117
105,1,3,155,142
106,1,4,142,135
107,1,5,153,162
108,1,6,165,134
109,1,7,168,141
110,1,8,157,169
111,1,9,166,166
112,1,10,171,151
113,1,11,156,169
114,1,12,171,171
115,1,13,145,154
116,1,14,151,149
117,1,15,142,136
118,1,16,132,145
119,1,17,132,131
120,1,18,127,141
121,1,19,135,156
122,1,20,131,130
123,1,21,137,123
124,1,22,67,73
125,1,23,73,75
126,1,24,72,88
127,1,25,79,81
128,1,26,76,76
129,1,27,87,89
130,1,28,94,90
131,1,29,91,94
132,1,30,97,96
133,1,31,83,90
134,1,32,93,96
135,1,33,106,99
136,1,34,96,103
137,1,35,99,96
138,1,36,87,111
139,1,37,99,102
140,1,38,96,112
141,1,39,110,108
142,1,40,100,95
143,1,41,103,107
144,1,42,110,131
145,1,43,109,106
146,1,44,108,102
147,1,45,74,96
148,1,46,93,111
149,1,47,86,94
150,1,48,106,108
151,1,49,80,98
152,1,50,85,90
153,1,51,104,85
154,1,52,152,154
155,1,53,136,138
156,1,54,120,137
157,1,55,130,111
158,1,56,118,113
159,1,57,112,106
160,1,58,121,106
161,1,59,89,88
162,1,60,79,77
163,1,61,89,91
164,1,62,68,77
165,1,63,79,63
166,1,64,61,83
167,1,65,67,67
168,1,66,60,61
169,1,67,67,54
170,1,68,58,51
171,1,69,59,67
172,1,70,61,58
173,1,71,39,51
