ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,71,143,0
1,1,365,16213,60,143,0
2,2,730,16149,64,128,0
3,3,1095,16075,67,141,0
4,4,1460,15991,63,147,0
5,5,1825,15940,89,140,0
6,6,2190,15872,71,139,0
7,7,2555,15821,105,156,0
8,8,2920,15751,78,148,0
9,9,3285,15689,94,156,0
10,10,3650,15645,106,150,0
11,11,4015,15643,118,120,0
12,12,4380,15599,105,149,0
13,13,4745,15523,109,185,0
14,14,5110,15446,109,186,0
15,15,5475,15376,105,175,0
16,16,5840,15338,115,153,0
17,17,6205,15302,147,183,0
18,18,6570,15275,143,170,0
19,19,6935,15243,142,174,0
20,20,7300,15172,130,201,0
